Name Something You Might Find In A Budgies Cage,A Budgie ,Food ,A Mirror ,A Swing ,
Name Something You Recycle,Paper ,Cans ,Organs ,Bottles ,
Name Something That Lives Underground,Mole ,Worm ,Rabbit ,Badger ,
Name A Sport That Men Like To Watch Woman Do,Wrestling ,Volleyball ,Tennis ,Gymnastics ,
Name Something You Add Milk To,Tea ,Coffee ,Cereal ,Eggs ,
"""Name A Part Of The Body Beginning With """"N""""""",Nose ,Neck ,Nostril ,Nails ,
Name A Yellow Flower,Daffodil ,Dandelion ,Buttercup ,Sunflower ,
Name Something That Might Crash,Plane ,Car ,Train ,Computer ,
Name Something A Student Might Buy With A School Emblem On It,Jacket ,Cap ,Bag ,Book ,
Name A Type Of Bird You'd Never Keep As A Household Pet,Eagle ,Ostrich ,Penguin ,Falcon ,
Name Something You Eat By The Handful,Popcorn ,Crisps ,Nuts ,Chips ,
Name An Extra Body Part You Would Like To Have,Hand ,Arm ,Eye / Eyes ,Brain ,
Name Something A Person Might Do To Help A House Plant Grow,Water It ,Fertilizer ,Talk To It ,Music ,
Name A Type Of Shoe,Sock ,Wellington ,Stiletto ,Winke Picker ,
Name Something You'd Hate To Find On The End Of Your Nose,A Spot ,A Bogey ,A Hair ,A Fist ,
Name Something Used In A Game Of Hockey,A Puck ,A Hockey Stick ,Goals ,Grass ,
Name A Profession That Uses A Calculator,Accountant ,Stationer ,Computer Programmer ,Maths Teacher ,
Name Something You Would Eat If You Wanted To Gain Weight,Crisps ,Burgers ,Chips ,Sweets ,
Name A Reason Why A Restaurant Might Have To Close,Health Inspection ,Gone Broke ,Chef Quits ,Power Cut ,
Name A Sport Where The Athletes Don't Look Very Athletic,Bowls ,Darts ,Snooker ,Sumo ,
Name Something A Child Might Take To The Beach,Bucket ,Spade ,Sandwiches ,Fishing Rod ,
Name Something Columbus Worried About On His Way To America,Storms ,Getting Lost ,Sinking ,Pirates ,
Name Something You'd Find In The Centres Of Fancy Chocolates,Caramel ,Nuts ,Cream ,Alcohol ,
Name One Of Bugs Bunnys Associates,Daffy Duck ,Yosemite Sam ,Porky Pig ,Elmer Fudd ,
Name A Reason You Might Stick Out Your Tongue,Play ,At Doctors ,Having It Pierced ,Passionate Kiss ,
Name Something Woman Do To Their Eyebrows,Pluck ,Dye ,Shave ,Mascara ,
Name An Excuse People Give To Police For Speeding,Didn't Realise ,Didn't See The Sign ,Late For Work ,Going To Hospital ,
Name A Reason A Person Might Phone Up A Radio Show,For Prizes ,To Complain ,A Phone In ,Agony Aunt ,
Name Something You Can Snap Apart From Taking Photographs,Fingers ,A Biscuit ,A Piece Of Wood ,A Wishbone ,
Name A Sport Where People Wear Helmets,Motor Racing ,Ice Hockey ,Canoeing ,American Football ,
Name Something Children Forget When Leaving For School,Homework ,Packed Lunch ,Dinner Money ,School Tie ,
Name A Reason You Might Send A Bowl Of Soup Back,Something In It ,Not Warm Enough ,Wrong Kind ,Didn't Order It ,
Name An Occupation Where You Might Get Dirty,Miner ,Builder ,Plumber ,Chimney Sweep ,
Name Something You Keep In Your Trousers,Wallet / Money ,Keys ,Legs ,Privates ,
Name Something That's Prickly,Cactus ,Hedgehog ,Porkupine ,Conquer ,
Name Another Word For A Thief,Robber ,Burglar ,Tea Leaf ,Shoplifter ,
Name A Season Of The Year,Summer ,Winter ,Spring ,Autumn ,
Name Something That You Do When Startled By A Loud Noise,Jump ,Investigate ,Laugh ,Scream ,
Name Something You Might Take On Safari,A Camera ,Binnoculars ,Food ,Sunglasses ,
Name A Place You Might Sleep When Staying At A Friends House,Bed ,Sofa ,Floor ,A Tent ,
Name Something People Do After They Take A Shower,Dry Off ,Go Out ,Get Dressed ,Turn It Off ,
Name Something You're Likely To Find In A Kitchen Drawer,Tea Towels ,Crockery ,Cutlery ,Tin Foil ,
Name Another Word For Fast,Quick ,Nippy ,Lively ,Speedy ,
Name Something You Might Look At Through A Telecsope,Stars ,Planets ,Airplanes ,Birds ,
Name Something That Crawls,Spider ,A Baby ,Snake ,Insects ,
Name An Instrument Parents Hate To Hear Their Children Play,Drums ,Clarinet ,Trumpet ,Recorder ,
Name An Item Of Clothing You Don't Usually Put On Hangers,Underwear ,Socks ,Scarf ,Hat ,
Name Something That Water Skiers Need That Snow Skiers Dont,Water ,A Boat ,A Rope ,A Life Jacket ,
Name Something Grandparents Do To Spoil Their Grandchildren,Give Them Sweets ,Buy Them Toys ,Give Them Money ,Expensive Trips ,
Name A Type Of Vehicle That Makes Frequent Stops,Bus ,Train ,Tram ,Milk Float ,
Name Someone Who Might Knock On Your Hotel Room Door,Room Service ,Next Door ,An Escort ,A Guest ,
Name A Job That Requires You To Risk Your Life,Police Officer ,Fireman ,Body Guard ,Stuntman ,
Name Something Thats Made Of Gold,Ring ,Chain ,Tooth ,Pen ,
Name A Garment People Wear On Their Head,Crown ,Poncho ,Hat ,Tiara ,
Name Someone Who Uses Hand Signals,Police Officer ,Deaf Person ,Air Traffic Control ,A Cyclist ,
Name Something That Makes Your Eyes Water,Cutting Onions ,Crying ,Punch On Nose ,Laughing ,
Name An Occupation Where You Have To Wear A Hat,Builder ,Policeman ,Fireman ,Beefeater ,
Name Another Word For Small,Tiny ,Mini ,Titchy ,Minnoscule ,
Name An Occupation In Which You Might Wear A Hat,Policeman ,Chef ,Builder ,Fireman ,
Name Something People Do In the Shower,Sing ,Make Love ,Shave ,Wee / Urinate ,
Name An Animal With Horns,Bull ,Rhino ,Buffalo ,Deer ,
Name An Artical Of Clothing Made Of Leather,Jacket ,Trousers ,Belt ,Shoes ,
Name Something You Might Do At The Office Christmas Party,Drink ,Pull / Kiss Boss ,Dance ,Embaress Yourself ,
Name A Red Liquid,Blood ,Wine ,Ribena ,Diesel ,
Name Something You Burn,Toast / Food ,Wood ,Fingers ,Candles ,
Name Something People Do When They Are Happy,Laugh ,Smile ,Sing ,Dance ,
Name Something Kids Might Get All Over Their Hands,Mud / Dirt ,Chocolate ,Food ,Ice Cream ,
Name Something Kids Like To Cuddle Up To,Teddy Bear ,Blanket ,Parents ,BFriend / GFriend ,
Name Something You Might Find In The Shower,Soap ,Shampoo ,Curtain ,A Person ,
Name Something You Might Find In A Greenhouse,Plants ,Orchids ,Ferns ,Weed Killer ,
Name Something You Might Find On A Bathroom Wall,Mirror ,Tiles ,Picture ,Towel Holder ,
Name A Piece Of Mountain Climbing Equipment,Rope ,Pick ,Boots ,Helmet ,
Name An Occasion Where People Might Dance,Wedding ,Party ,Disco ,Dance Contest ,
Name Something You Might Buy For A Cat,Collar ,Food ,Bell ,Milk ,
Name An Occupation That Uses A Brush,Hair Dresser ,Painter & Decorator ,An Artist ,Street Sweeper ,
Name Something Children Like About The Circus,Clowns ,Animals ,Candy Floss ,Fun ,
Name A Pest That Might Show Up At A Picnic,Ant ,Fly ,Spider ,Wasp ,
Name A Tool A Labourer Might Use To Build A House,Hammer ,Drill ,Saw ,Cement Mixer ,
Name Something You Might Find In A Caravan,Bed ,Oven ,Sink ,People ,
Name Something You Associate With Windows,Glass ,Microsoft ,Frames ,Double Glazing ,
Name Something A Cyclist Might Wear,Helmet ,Shorts ,Gloves ,Glasses ,
Name An Occasion On Which Greeting Cards Sent,Christmas ,Birthday ,Anniversary ,Baby ,
Name Something You Associate With A Headmaster,School ,Pupils ,The Cane ,Detention ,
Name Someone Who Works In A Hospital,Nurse ,Doctor ,Cleaner ,Porter ,
Name Something You Might See On The Road,Cars ,People ,White Lines ,Signs ,
Name Something You Need To Build A Sandcastle,Sand ,Bucket ,Spade ,Water ,
Name Something You Might Keep In Your Top Pocket,Pen ,Calculator ,Phone ,Cigarettes ,
Name Something You Might Find On A Chair,Cushion ,Person ,Cat ,Magazine ,
Name Something You Associate With A Butcher,Meat ,Cleaver ,Knife ,Chopping Board ,
Name Something That Is Made From Straw,Hat ,Haystack ,Chair ,Basket ,
Name Something That Has A Tail,Dog ,Cat ,Cow ,Horse ,
Name Something You Buy To Wear With A Suit,Tie ,Shirt ,Hat ,Shoes ,
Name A Part Of A Camera,Lens ,Shutter ,Lens Cap ,Film ,
Name A Food That Grows In The Ground,Carrot ,Potato ,Turnip ,Swede ,
Name Something That Might Be Mead From Denim,Jeans ,Jacket ,Skirt ,A Bag ,
Name A Pet All Children Want,Dog ,Gerbil ,Hampster ,Rabbit ,
Name A Place Where You Would Find A Candle,Church ,In A Candlestick ,Bathroom ,Table ,
Name A Place Where You Might Find A Plant,Garden ,Plant Pot ,Green House ,Window Seal ,
Name Something Found In A Birds Nest,Eggs ,Twigs ,Birds ,Leaves ,
Name Something Fireman Need To Fight A Fire,Water ,Fire Engine ,Hose ,Sand ,
Name A Shape Other Than A Square,Triangle ,Circle ,Hexagon ,Cube ,
Name Something You Find In An Oasis,Water ,Tree ,Grass ,Coconuts ,
Name Something That Runs On A Timetable,Train ,Plane ,Lessons ,Work ,
Name Something You See At A Fire Station,Fire Engine ,Firemen ,Poles ,Doors ,
Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,
How Late A Kid Might Stay Up At Sleepover,11,12,1,2,3,
We Asked 100 Moms How Much Are You Like Your Mom. Scale 1-10.,10,9,8,7,5,
Married People Only: How Many Guests Did You Invite To Your Wedding? Numeric Only Please.,100,20,200,150,300,
During Conversation You Might Fake,Laugh,Interest,Smile,Name,Accent,
We Asked 100 Singles: Describe Last Date With Movie Genre,Horror,Comedy,Drama,Romance,Action,
Name A Job A Robot Not Entertaining Enough,Comedian,Dancer,Singer,Clown,Actor,
Name A Job In Which You’d Have An Easy Time Getting Dates,Bartender,Food Server,Model,Dancer,Actor,
Name A Comedian That Gets On Peoples Nerves,Carrot Top,Chris Rock,Jim Carrey,Dane Cook,Adam Sandler,
Name Something Look For Rental Car Vs Regular Car,Cd Player,Gps,Sun Roof,Gas Mileage,Air Conditioner,
Name Something Specific That Causes You Honk Car Horn,Traffic Jam,Cut Off,About To Crash,Slow Driver,Animal,
Which Physical Characteristics Would Tell You Someone Is An Alien?,Eyes,Green Skin,Head,Ears,Antenna,
Tell Me An Occupation Where You Wouldn’t Wear High Heels,Waitstaff,Medical Worker,Cop,Construction,Athlete,
Name Something A Pro Athlete Might Wear That’s Lucky,Socks,Underwear,Jewelry,Shoes,Athletic Supporter,
What Might You Buy With Fav Sports Team Logo On It,Hat,Shirt,Jacket,Mug,Ball,
Name Something You Might Receive In A Gift Basket,Fruit,Candy,Lotion,Wine,Bath Oil,
Name Something You Might Do If You Had A Romantic Day With Partner,Dinner,Picnic,Stay In Bed,Movie,Beach,
Circus Animal You Would Hate To Be Trainer For,Lion,Tiger,Elephant,Monkey,Bear,
Name Something People Associtae With The 1960S,Hippies,Music,Vietnam,60S Hairstyles,Bell Bottoms,
What Did You Do As A Baby That You’re Glad You Don’t Do I Public Anymore?,Cry,Suck Thumb,Bathroom Incidents,Drool,Blanket,
Where Might A Cheapskate Take You On A First Date?,Fast Food Restaurant,Movies,Park,Bar,Bowling Alley,
Name Something Of Her Mom’s A Kid Might Wear,Shoes,Make Up,Hat,Jewelry,Bra,
Complaint Someone Might Have About Paper Boy,Doesn’t Leave On Porch,Skips Them,Wet Paper,Late,Breaks Window,
Name A Color That Cars Seldom Come In,Pink,Yellow,Orange,Purple,Brown,
Name A Street Name For Money,Cash,Dough,Loot,Green,Bucks,
Way To Save Money On Groceries,Coupons,Eat Less,Sales,Buy In Bulk,Buy Generic Brands,
Name Key On Computer That Has Word On It,Shift,Backspace,Delete,Tab,Caps Lock,
Name Something You Can Test In Store Before Buying,Perfume,TV,Clothes/ Shoes,Computer,Cd,
Name A Johnny Depp Movie Everyone Has Seen,Edward Scissorhand,Pirates Of The Caribbean,Sleepy Hollow,Blow,Charlie & The Chocolate Factory,
Name A Section Listed On Most Restaurant Menus,Drinks,Appetizers,Dessert,Entree,Childrens Menu,
"When Visiting Hometown, Place You Would Definately Visit",Parents House,Mall,School,Bar,Church,
Name Something Sold In Checkout Lines,Gum,Magazines,Batteries,Lottery Tickets,Cigarettes,
"Name A Place That’s Meant For Kids, But Adults Love It Too",Park,Disney/ Theme Park,Zoo,Chuck E Cheese,Circus,
Where Would You Look First If Your Child Was Lost In The Department Store?,Toy Department,Customer Service,Candy Aisle,Restroom,Clothing Department,
What Can You Consult When Lost,Map,Gps,Gas Station,Police,Compass,
Name Something You Use At Least 20 Times A Day,Phone,Hands,Bathroom,Pen,Computer,
Name Something That’s Hard To Cook Well Without Burning,Steak,Eggs,Toast,Chicken,Cookies,
Activity Nursing Home Residents Look Forward To,Bingo,Visitors,Playing Cards,Meals,Crafts,
Name A Reason Why It’s Hard To Talk To An Attractive Person,Shy,Been Drinking,Too Noisy,Lots Of Competiton,Crowded Room,
"Which Fears, Adult/ Childish Men Pretend Not To Do",Dark,Committment,Rejection,Heights,Crying,
Name A Person In Your Life Dislike Partner,Mom,Friends,Kids,Sibling,Dad,
What Might Hypnotist Do To Prove You Are Hypnotized,Bark,Act Like Chicken,Go To Sleep,Sing,Dance,
Name Something Dog Owner Wish Never Did,Go To Bathroom,Bark,Bite,Shed,Dig,
What Might You Find Under Couch Cushion?,Coins,Food,Remote Control,Keys,Dirt,
Why Might You Regret Picking Up A Lost Dog?,Fleas,Bites,Rabies,Get Attacked,Dirty,
Name A Way To Avoid Spending A Lot On Christmas Gifts,Homemade,Sales,Set A Budget,Re-Gift,Discount Stores,
If You Lived In Soap Opera Land,Drama,Suspicious Deaths,Love Affairs,Weddings,Divorce,
Something Teenagers Do That Makes Parents Angry,Stay Out Late,Talk Back,Smoke,Lie,Drink,
Name Something You Are Smarter About Now Than When You Were A Teenager,Money,Life,Relationships,Driving,Drinking,
"If Money Isn’t An Object, Who Do People Hire To Help Make Their Life Easier?",Maid,Chef,Butler,Nanny,Driver,
Name Something Specific That Women Wear That Hurts,Girdle,Bra,High Heels,Thong,Earrings,
What Do New Parents Wish Baby Learn Quickly,Potty Train,Walk,Talk,Sleep,Eat,
Name An Expense That Goes Up In The Month Of December,Grocery Bill,Gift/ Shopping Budget,Travel Expenses,Heating Bill,Electric Bill,
Name Someone In A Man’s Life Who You’D Want To Meet Before Marrying Him,Parents,Kids,Best Friend,Sublings,Ex,
Name Something About Grandmas Looks That Could Be Fake,Teeth,Hair,Chest,Eyelashes,Eyebrows,
Name Something Specific England People Eat,Kiss,Smoke,Spit,Pick Nose,Fight,
Why Might A Waiter Say He Had Bad Day?,No Tips,Rude Customers,Spill/ Drop Food,Busy,Fired,
Name A Feature Of Most Parade That Scare Children,Clowns,Sirens,Masks,Gunshots,Fireworks,
Best Food To Go Out For On Friday Night,Pizza,Wings,Steak,Chinese,Fish,
Name Someone Who Make Money Off Of Giving Advice,Lawyer,Therapist,Doctor,Financial Planner,Fortune Teller,
Name A Specific Reason Co-Worker Drinks After Work,Hard Day,Birthday,Promotion,Date,Friday,
"Before 21, A Place A Young Person Could Hang On Friday Night",Mall,Movie,Skating Rink,Bowling Alley,Friends House,
Two-Word Phrase That Starts With Secret,Service,Agent,Admirer,Santa,Garden,
Which Activity Can A Mother Do With Daughter Not With Sons,Shopping,Makeup,Dress Up,Manicure,Get Hair Done,
Which Part Of Your Morning Routine Won’t Leave Home Without Doing,Brush Teeth,Shower,Makeup,Fixing Hair,Getting Dressed,
Name something you might be scared of while camping.,Bears,Snakes,Bugs,Dark,Ghost,
Name A Type Of Lawn Ornament,Pink Flamingo,Statue,Bird Bath,Flower Pot,Gnome,
Name Something You Do Same Time Every Day,Eat Meals,Wake Up/ Sleep,Brush Teeth,Shower,Go To Work/ School,
Christmas Gift You Would Have Hard Time Wrapping,Car,Bike,Ball,TV,Golf Clubs,
What Do Soap Opera Characters And Wealthy People Have In Common?,Money,Dramatic Lives,Big Houses,Nice Clothes,Good Looks,
Name A Reason Someone Might Chop Up His Credit Card,Maxed Out,Expired,Paid It Off,Fraud,Got A New One,
Which Musical Instrument Least Expect In A Country Music Band,Flute,Tuba,Electric Guitar,Saxaphone,Harp,
Name An Article Of Clothing Women Think Men Look Handsome,Suit,Tie,Shorts,Blue Jeans,Hat,
Name A One Word Term People Use Playing Cards,Deal,Fold,Pass,Uno,Hit,
Name A Place That Has Internet Now But Not Long Ago,Library,Hotel,Cafe,Fast Food,Home,
Name Something Babysitter Hopes Kids Will Be Doing,Sleeping,Behaving,Playing Games,Watch TV,Homework,
Name Something That’s Sticky,Gum,Glue,Tape,Syrup,Honey,
Give A Nickname For A Spouse That Is Also A Dessert,Cupcake,Cookie,(Sweetie) Pie,Muffin,Honey Bun,
Name A Piece Of Information You’d Include In Personals Ad,Age,Height,Marital Status,Weight,Horoscope Sign,
Name Something Offered To First Class Airline Passesngers,Alcohol,Food,Movies,Pillows,Hot Towel,
Word For Handsome Man You Would Feel Funny Saying,Hunk,Sexy,Stud,Cutie,Hottie,
Name Something Really Tall Person Has To Think Twice Before Buying,Pants,Car,Shoes,Bed,House,
Place You Don’t Like To Set Foot If On A Diet,Restaurant,Bakery,Candy Shop,Scale,Ice Cream Shop,
Name Something People Should Never Leave House Without,Keys,Money,Phone,Clothes,Id,
Name Name Something You Bring With You Everywhere,Money,Cell Phone,ID|,Keys,Ipod,
Name A Country Whose Food You Know Better Than Its Language,Italy,China,Mexico,France,Japan,
Name A Type Of Restaurant Might Not Be Able To Pronounce Anything On Menu,French,Chinese,Italian,Mexican,Japanese,
"In One Word, What’s The Best Thing About Being Married?",Love,Intimacy,Companionship,Money/ Security,Kids,
What Do You Check Before Going To Bed?,Doors/ Locks,Lights,Alarm Clock,Stove,Kids,
Name Something About Wife Makes You Think She’s A Witch,Has A Broom,Nose,She’s Magic,Personality,Laugh,
Name A Reason Why Someone Might Not Ride Their Bike To Work,Raining,Dangerous,Too Far,Get Sweaty,Lazy,
What Might Kid Forget To Bring To Pool That Would Keep Him From Swimming,Swimsuit,Floaties,Towel,Goggles,Life Jacket,
Name Something That Comes With A Drink Of A Fancy Cocktail,Olive,Umbrella,Cherry,Lemon,Lime,
Name Something That Gets Picked Up,Kids,Girls,Mess,Trash,Mail,
Name Someone Who Might Ask For Your Signature,Bank,Fan,Cashier,Lawyer,Mail Carrier,
Extracurricular Activity Parent Says Is Good For Child,Sports,Music,Dance Class,Theatre,Martial Arts,
"If You Order Pasta At A Restaurant, What You Assume Come With",Sauce,Bread,Salad,Grated Cheese,Meatballs,
Name Something At The Playground Wish Adult Size,Slide,Swings,Monkey Bar,See Saw,Merry Go Round,
Name Something Las Vegas Has More Of Than The Average City,Casinos,Bright Lights,Beautiful Women,Night Life,Money,
Name Something A Devoted Cheerleader Would Know About Her School,Team Name,Mascot,Colors,Fight Song,Motto,
Name Something Smoker May Do Before Going In For A Kiss,Mint,Spray,Chew Gum,Brush Teeth,Mouthwash,
Name A Place Where Many People Go Once A Week,Church,Grocery Store,Gym,Bank,Movie Theater,
Name Something Dogs Hate Owners To Put On Them,Leash,Collar,Clothes,Flea Spray,Muzzle,
Name Something Some Women Wear Very Short,Skirt,Shorts,Hair,Shirt,Nails,
Name Someone You Would Hate To Get Fender Bender With,Police,Mom,Kids,Lawyer,Neighbor,
"Besides A Horse, Which Animal Is Used For Transportation",Mule,Camel,Dog,Elephant,Ox,
Name something a fast food restaurant has that a fancy restaurant would never have.,Burger and Fries,Drive Thru,Disposable Cup/Fork,Ketchup Packets,Paper Napkins,
Name Something First Time Parent Has To Do Before Baby Is Born,Buy Crib,Buy Clothes,Buy Diapers,Baby Shower,Parenting Classes,
Name Something A Couple Worry Less Of After Children,Money,Intimacy,Time,Privacy,Partner’s Love,
Name Something You Might Skip When You Are Sick,Work,Meals,Bathing,Working Out,Party,
Button On TV Remote Husband Will Wear Out,Channel,Volume,Mute,On,Pause,
Name Something You’d Sneak Into A Movie Theater To Avoid To Keep From Buying It At The Concession Stand.,Candy,Popcorn,Chips,Soda,Pizza,
Name An Activity You Turn The Lamp On For,Read,Write,Tv,Puzzle,Play Cards,
Name A Topic Shouldn’t Bring Up In A Job Interview,Family,Yourself,Money,Last Job,Politics,
Fruit That Is Hard To Break Into,Pineapple,Coconut,Watermelon,Cantaloupe,Pomegranite,
Name An Occupation Not For Partner Too Stressful,Police,Doctor,Lawyer,Teacher,President,
Name Something That Would Keep You From Restaurant If It Was Bad,Food,Service,Bugs,Sanitary Condition,Price,
What Would You Prefer To Have Less Of,Bills,Fat,Stress,Work,Problems,
Another Phrase To Say “Stop Bothering Me”,Leave Me Alone,Go Away,Bug Off,Get Lost,Quit It,
Where Might A Child Be Sent If Misbehaving In School,Principal,Detention,Time Out,Home,Reform School,
Name A Reason Why You Might Get Introduced Many People At Once,Party,Wedding,New Job,Famous,Reunion,
Circus Performer That Would Have Easiest Time Getting Dates,Clown,Lion Tamer,Acrobat,Strong Man,Ringmaster,
Job That Requires You To Talk All Day Long,Telemarketer,Receptionist,Teacher,Customer Service,Salesperson,
Name A Food That Has Layers,Cake,Lasagna,Onion,Pizza,Sandwich,
Name A Place Where You Might End Up Dancing With Stranger,Bar,Wedding,Concert,Party,School Dance,
Name Something You Would Have To Be Without When Cops Pull Over,License,Registration,Insurance,Cell Phone,Seat Belt,
Tell Me Something Your Teenager Washes Less Often Than You,Clothes,Hair,Dishes,Car,Sheets,
Habit Impossible To Hide From Spouse,Smoking,Drinking,Biting Nails,Gambling,Shopping,
Somethng Babies Are Born With Little Or None Of,Hair,Teeth,Knowledge,Money,Sight,
Name An Animal That Has A Unique Pattern To Their Fur/ Hide,Zebra,Tiger,Cheetah,Leopard,Skunk,
Name Something People Do To Pass Time On Long Road Trip,Sing,Read,Talk,Listen To Music,Sleep,
Name Something A Camper Does That He Wouldn’t Do At Home,Light Fire,Use Latrine,Hike,Sing Campfire Songs,Sleep In Tent,
What Would You Be Surprised A Car Navigation System Advise You To Do,Speed,Stop The Car,Go The Wrong Way,Crash,Slow Down,
Name Something You Hope Your Friend Doesn’t Do Housesitting,Party,Steal,Use Your Clothes,Make A Mess,Smoke,
Animal A Two Timing Boyfriend Gets Compared To,Dog,Pig,Rat,Weasel,Snake,
"Name Something Around The House That Your Family Members Use The Last Off, And Don’t Replace",Toilet Paper,Milk,Tissue,Toothpaste,Soap,
Where Do You Think It’s Appropriate For Men To Go Shirtless?,Beach,House,Gym,Front Yard,Spa,
Name A Country That Is Known For Its Spicy Food,Mexico,India,Italy,Thailand,Spain,
Name A Place Where You Hate To Save Seats For People,Movie Theater,Public Transit,Place Of Worship,Concert,Sporting Event,
Name A Substance Of Which Animals Make Home Of,Twigs,Mud,Leaves,Grass,Straw,
People Find Hard To Do When There Is Loud Noise,Sleep,Read,Concentrate,Talk,Study,
What You Would Need To Dress As John Lennon,Glasses,Long Hair,Guitar,Hippie Clothes,Suit,
Name Something People Use To Wake Them Up,Phone,Dog,Radio,Rooster,Sun,
Name Something A Diver Might Look For Underwater,Marine Animals,Treasure,Shells,Missing Person,Sunken Ship,
What Is A Bad Habit A Little Kid Would Have,Pick Nose,Suck Thumb,Bite Nails,Lying,Swearing,
Name Name Something A Kid Would Look For In A New House,Swimming Pool,Backyard,Big Bedroom,Own Bathroom,Swing,
Name An Action Movie Star Does No Stunts,Tom Cruise,Brad Pitt,Bruce Willis,Will Smith,Sylvester Stallone,
Name A Chore You Get Out Of If It Rains,Mowing Lawn,Washing Car,Gardening,Raking,Taking Out Trash,
Name Something Women Do More Of In Relationships,Cook,House Chores,Show Affection,Show Emotion,Talk,
Name Something You Would Do To See If Fruit Was Ripe,Squeeze,Smell,Cut Open,Feel It,Taste It,
"Other Than Alcohol, Name Beverage Kids Drink Less Than Adults",Water,Coffee,Soda,Milk,Tea,
Some People Name That Isn’t Alive,Car,Rock,Plant,Boat,Teddy Bear,
Name Something That Makes Loud Sound When It Pops,Balloon,Popcorn,Gun,Gum,Tire,
Tell Me A Body Part Strong As Arnold Schwarenegger,Tongue,Brain,Heart,Finger,Toe,
Flavor Found In Candy And Coffee,Vanilla,Chocolate,Caramel,Mint,Toffee,
Name A Reason Kids Give For Not Liking School,Homework,Boring,Teacher,Bullies,Too Hard,
Name A Reason Why Somebody Would Be Underground,Dead,Mining,Subway,Hiding,Tornado,
Name A Type Of Tv Show Wouldn’t Want Grandma On,Talk,Reality,Dating,Romantic Drama,True Crime,
Name Something In Your Life You Want Bigger,House,Bank Account,Muscles,Car,TV,
Tell Me Something You Often See For Sale Classified Section,Cars,Houses,Pets,Furniture,TVs,
Cowboy Might Do To Catch Woman’s Eye,Tip Hat,Lasso Skills,Ride Horse,Wink,Two Step,
Name A Place Where You’d Hid Mess Company Coming,Closet,Bedroom,Cupboard,Under Rug,Under Couch,
Name A Magazine Or Tabloid Headlines You Don’t Always Believe,Star,National Enquirer,People,Globe,Us Weekly,
Tell Me Worst Way To Be Woken Up,Scream,Splash Water,Shake,Jump On Bed,Use Alarm,
Tell Me A Type Of Character That Appears In Fairy Tales,Fairy,Princess,Witch,Prince,Villain,
Which Instrument Might You Be Playing Wait For Part To Come,Drum,Flute,Cymbals,Triangle,Violin,
Name A Type Of Insurance That Employers Don’t Provide,Auto,Dental,Life,Home,Vision,
"When Your Husband Gets Home After A Long Day Work, Ready To Do?",Sleep,Eat,Relax,Shower,Watch TV,
Name An Animal That Stays With One Partner,Penguin,Human,Bird,Wolf,Whale,
Name A Term For “Little Boy” That Old Person Might Use,Lad,Sonny,Youngin,Kiddo,Whippersnapper,
Name A Piece Of Paper You Were Nervous To Sign,Marriage License,Employment Contract,Mortgage Loan,Divorce,Will,
"At A Bar, How Can You Tell That Someone Is Interested In You?",Buys you a drink,Smiles,Stares,Makes Eye Contact,Winks,
Name A Place That Almost No parent Would Forbid Their Child From Going.,School,Place Of Worship,Park,Library,Bed,
"When A Kid Says “I’M Bored”, Name Something A Parent Often Suggests.",Read A Book,Go Out Side,Clean,Finish Homework,Play Game,
Name a question Your Server Usually Asks At Least At A Restaurant.,Ready To Order,Is Everything OK,Want A Refill,Need Anything Else,Want The Bill,
How can You Tell The Show You’re watching Is Made Fore Kids?,Cartoon,Songs,Puppets,Rating,Commercials,
Name something That People Blow Up.,Balloon,Bombs,Fireworks,Bubble Gum,Doll,
Name Something That Can Make You Sick On A Long Car Ride,Reading,Bumps,Speed,Curves,Eating Too Much,
"Name Something You Do While Watching A Scary Movie At Home, That You Can’t Do In A Theatre",Scream,Hide Under Blanket,Cry,Turn It Off,Go To Another Room,
Name Something A Rich Woman Might Have.,Diamonds,Fur Coat,Mansion,Nice Car,Maid,
Name Something People Put On Their Salad To Make It Taste Better.,Dressing,Cheese,Salt/Pepper,Croutons,Meat,
Name Something Babies Need A Lot Of.,Milk,Love,Attention,Diapers,Sleep,
What do many people do on the day after thanksgiving.,Shop,Sleep,Eat Leftovers,Watch Football,Clean Up,
Name Something That people Do That Distracts Them While Driving.,Talk On Cell Phone,Eat/Drink,Adjust Radio,Smoke,Put on Makeup,
Name A Complaint People Have About Late-night TV,Boring,Too Late,Commercials,Bad Language,Adult Content,
Name something from an art class that young children might take a taste of.,Glue/Paste,Paint,Clay,Crayon,Chalk,
Name The Sexiest Piece Of Clothing That A Woman Can Wear In Public,Skirt,Swim Suit,High Heels,Shorts,Jeans,
Name A Reason You Look Bad When You Have A Cold,Red Nose,Puffy Eyes,Pale,No Sleep,Messy Hair,
Name Something A Woman Treats Better Than Her Husband,Pet,Kids,Car,Hair,Shoes,
Name Something Specific About Your Parenting That Your Mother-In-Law Thinks You Should Do Differently,Discipline,Children’s Eating,Children’s Dress,Bed Time,Teach Manners,
Name A Sport You Can’t Compete In While Wearing Shoes,Swimming,Gymnastics,Hockey,Martial Arts,Beach Volleyball,
Name A Hobby You Associate With Macho Men,Weightlifting,Wrestling,Football,Cars,Boxing,
Name A Common Pet That Would Be Weird To Actually Pet,Snake,Fish,Lizzard,Bird,Frog,
"On Family Fued, Name Something The Host Asks Players About",Family,Job,Name,Age,Hometown,
